feature,importance
tokenized_ratio,30.751332560987688
business_mcc_ratio,15.223349003063761
weekend_ratio,11.965116244348444
recurring_ratio,8.442066347708957
pos_ratio,8.020740715762214
advertising_ratio,6.817448513536255
online_ratio,4.848165902459508
median_amount,2.535144040468074
avg_monthly_amount,1.5591907293064666
mean_amount,1.118905588096933
foreign_ratio,1.1112549530136415
total_amount,0.9331190945884004
workhour_ratio,0.8590097528856651
recurring_capable_ratio,0.8321225670889113
unique_mcc,0.6908822164733973
unique_merchants,0.6008017857669047
amount_cv,0.5703903334454443
software_ratio,0.47141277444781593
std_monthly_amount,0.470141449155847
cloud_digital_ratio,0.4452508156535693
std_monthly_tx,0.4416446174444635
active_days,0.41316654454596935
unique_merchant_countries,0.37749503872319545
avg_monthly_tx,0.19038484047293772
max_amount,0.07672098028844228
night_ratio,0.07381954145902435
tx_per_active_day,0.0679119567006338
monthly_amount_cv,0.03332924435950899
monthly_tx_cv,0.029259042419822672
tx_count,0.024930378557189884
subscription_tools_ratio,0.005022229935383238
unique_tx_countries,0.00047013209562689367
std_amount,5.6136032232867453e-08
p90_amount,8.603848135562417e-09
active_months,0.0
